epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.014,2.56216,0.75313,0.96094,2.64824,0.000232936,0.000232936,0.000232936
2,37.5297,0.8589,0.87813,0.99375,2.27598,0.000466274,0.000466274,0.000466274
3,54.5659,0.51376,0.90312,0.99531,2.22422,0.000694899,0.000694899,0.000694899
4,72.0189,0.46658,0.80156,0.99687,2.30918,0.000692794,0.000692794,0.000692794
5,88.9387,0.4181,0.90781,0.99844,2.19512,0.000685726,0.000685726,0.000685726
6,105.937,0.42255,0.91094,0.99375,2.19551,0.000678657,0.000678657,0.000678657
7,123.057,0.30086,0.96094,1,2.14922,0.000671588,0.000671588,0.000671588
8,139.737,0.3226,0.94531,1,2.1541,0.00066452,0.00066452,0.00066452
9,157.057,0.28444,0.96562,1,2.13945,0.000657451,0.000657451,0.000657451
10,174.151,0.2681,0.9,1,2.20137,0.000650383,0.000650383,0.000650383
11,191.027,0.24451,0.97344,1,2.11973,0.000643314,0.000643314,0.000643314
12,207.85,0.20818,0.96875,1,2.13223,0.000636245,0.000636245,0.000636245
13,225.635,0.23179,0.97969,1,2.1127,0.000629177,0.000629177,0.000629177
14,242.649,0.24086,0.99063,1,2.10625,0.000622108,0.000622108,0.000622108
15,259.323,0.21086,0.98438,1,2.10938,0.00061504,0.00061504,0.00061504
16,275.899,0.18706,0.9875,1,2.10234,0.000607971,0.000607971,0.000607971
17,292.45,0.18132,0.97188,1,2.12344,0.000600902,0.000600902,0.000600902
18,309.13,0.1791,0.98281,1,2.10332,0.000593834,0.000593834,0.000593834
19,325.889,0.20121,0.94844,1,2.14609,0.000586765,0.000586765,0.000586765
20,341.933,0.17815,0.98281,1,2.10313,0.000579697,0.000579697,0.000579697
21,358.59,0.13597,0.96719,1,2.11953,0.000572628,0.000572628,0.000572628
22,375.215,0.16802,0.99063,0.99844,2.09531,0.000565559,0.000565559,0.000565559
23,391.937,0.16687,0.98438,1,2.10566,0.000558491,0.000558491,0.000558491
24,408.463,0.15147,0.98438,1,2.10684,0.000551422,0.000551422,0.000551422
25,425.431,0.14417,0.98906,1,2.10137,0.000544354,0.000544354,0.000544354
26,441.931,0.12827,0.9875,1,2.0957,0.000537285,0.000537285,0.000537285
27,458.99,0.09159,0.99844,1,2.0875,0.000530216,0.000530216,0.000530216
28,475.62,0.10576,0.99531,1,2.09102,0.000523148,0.000523148,0.000523148
29,492.673,0.10873,1,1,2.08555,0.000516079,0.000516079,0.000516079
30,509.481,0.11697,0.99531,1,2.0916,0.000509011,0.000509011,0.000509011
31,526.901,0.10979,0.99375,1,2.08848,0.000501942,0.000501942,0.000501942
32,543.312,0.11542,0.99063,1,2.09219,0.000494873,0.000494873,0.000494873
33,559.796,0.11046,1,1,2.08613,0.000487805,0.000487805,0.000487805
34,576.5,0.08694,1,1,2.08613,0.000480736,0.000480736,0.000480736
35,593.423,0.09526,1,1,2.08262,0.000473668,0.000473668,0.000473668
36,610.35,0.07324,0.99844,1,2.08184,0.000466599,0.000466599,0.000466599
37,627.239,0.06959,0.99844,1,2.08242,0.00045953,0.00045953,0.00045953
38,644.219,0.08021,0.99844,1,2.0834,0.000452462,0.000452462,0.000452462
39,661.371,0.07583,1,1,2.08066,0.000445393,0.000445393,0.000445393
40,678.247,0.09459,0.99531,1,2.08477,0.000438325,0.000438325,0.000438325
41,695.263,0.08721,1,1,2.08281,0.000431256,0.000431256,0.000431256
42,712.191,0.09554,0.99844,1,2.08418,0.000424187,0.000424187,0.000424187
43,729.114,0.09045,0.99687,1,2.08418,0.000417119,0.000417119,0.000417119
44,746.055,0.0776,1,1,2.08086,0.00041005,0.00041005,0.00041005
