epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.5259,2.56216,0.75313,0.96094,2.64824,0.000232936,0.000232936,0.000232936
2,36.7659,0.85869,0.88281,0.99531,2.27305,0.000467051,0.000467051,0.000467051
3,53.8733,0.51315,0.90312,0.99531,2.22187,0.000697239,0.000697239,0.000697239
4,71.127,0.47827,0.81875,0.99844,2.28926,0.000696328,0.000696328,0.000696328
5,88.8381,0.41715,0.90781,1,2.19609,0.000690438,0.000690438,0.000690438
6,106.205,0.41318,0.93437,1,2.16133,0.000684548,0.000684548,0.000684548
7,123.671,0.27521,0.96562,1,2.14238,0.000678657,0.000678657,0.000678657
8,140.994,0.35506,0.92656,1,2.18438,0.000672767,0.000672767,0.000672767
9,158.403,0.27652,0.94531,1,2.14863,0.000666876,0.000666876,0.000666876
10,175.528,0.28369,0.91875,0.99844,2.18203,0.000660986,0.000660986,0.000660986
11,192.357,0.28875,0.96875,1,2.15156,0.000655095,0.000655095,0.000655095
12,209.542,0.2479,0.96094,0.99687,2.14023,0.000649204,0.000649204,0.000649204
13,226.904,0.21618,0.97031,1,2.13066,0.000643314,0.000643314,0.000643314
14,243.983,0.21579,0.98281,1,2.10977,0.000637423,0.000637423,0.000637423
15,261.003,0.18639,0.97031,1,2.11992,0.000631533,0.000631533,0.000631533
16,278.035,0.21015,0.97031,1,2.13027,0.000625642,0.000625642,0.000625642
17,295.476,0.20865,0.97344,1,2.12129,0.000619752,0.000619752,0.000619752
18,312.835,0.19769,0.97812,1,2.11602,0.000613862,0.000613862,0.000613862
19,330.056,0.20824,0.95469,1,2.13789,0.000607971,0.000607971,0.000607971
20,347.068,0.15765,0.99531,1,2.09414,0.000602081,0.000602081,0.000602081
21,364.482,0.12815,0.96719,1,2.12559,0.00059619,0.00059619,0.00059619
22,381.8,0.14333,0.99063,1,2.09258,0.0005903,0.0005903,0.0005903
23,399.176,0.15598,0.95938,1,2.12676,0.000584409,0.000584409,0.000584409
24,416.523,0.14554,0.97969,1,2.10996,0.000578519,0.000578519,0.000578519
25,433.788,0.12968,0.99375,1,2.09629,0.000572628,0.000572628,0.000572628
26,450.737,0.11034,0.99531,1,2.0877,0.000566737,0.000566737,0.000566737
27,468.104,0.10089,0.99219,1,2.10137,0.000560847,0.000560847,0.000560847
28,485.212,0.13866,0.99219,1,2.09375,0.000554956,0.000554956,0.000554956
29,502.507,0.12356,0.99687,1,2.0877,0.000549066,0.000549066,0.000549066
30,519.63,0.13011,0.99531,1,2.0873,0.000543175,0.000543175,0.000543175
31,536.585,0.13834,0.99844,1,2.08496,0.000537285,0.000537285,0.000537285
32,553.571,0.13889,0.99531,1,2.08906,0.000531395,0.000531395,0.000531395
33,570.798,0.10932,0.98906,1,2.09785,0.000525504,0.000525504,0.000525504
34,588.015,0.11094,0.99531,1,2.08906,0.000519613,0.000519613,0.000519613
35,605.207,0.12142,0.99375,1,2.09199,0.000513723,0.000513723,0.000513723
36,622.399,0.09559,1,1,2.08594,0.000507833,0.000507833,0.000507833
37,639.713,0.09874,0.99687,1,2.09102,0.000501942,0.000501942,0.000501942
38,656.928,0.10313,0.99531,1,2.08594,0.000496052,0.000496052,0.000496052
39,674.007,0.06705,0.99531,1,2.08828,0.000490161,0.000490161,0.000490161
40,690.925,0.08891,0.99219,1,2.09043,0.000484271,0.000484271,0.000484271
41,707.921,0.09733,1,1,2.08281,0.00047838,0.00047838,0.00047838
42,724.856,0.11842,0.99063,1,2.09258,0.000472489,0.000472489,0.000472489
43,741.952,0.09986,1,1,2.08418,0.000466599,0.000466599,0.000466599
44,758.93,0.08036,0.99687,1,2.08301,0.000460709,0.000460709,0.000460709
45,776.089,0.06453,1,1,2.08105,0.000454818,0.000454818,0.000454818
46,792.984,0.06827,0.99844,1,2.08262,0.000448928,0.000448928,0.000448928
47,810.413,0.07986,0.99687,1,2.0832,0.000443037,0.000443037,0.000443037
48,827.522,0.07485,1,1,2.08047,0.000437147,0.000437147,0.000437147
49,844.487,0.06243,0.98906,1,2.09414,0.000431256,0.000431256,0.000431256
50,861.701,0.07673,0.99844,1,2.08262,0.000425365,0.000425365,0.000425365
51,878.557,0.06135,1,1,2.08066,0.000419475,0.000419475,0.000419475
52,895.5,0.05319,0.99844,1,2.08125,0.000413584,0.000413584,0.000413584
53,912.717,0.05073,1,1,2.07988,0.000407694,0.000407694,0.000407694
54,929.653,0.06609,1,1,2.07969,0.000401804,0.000401804,0.000401804
55,946.772,0.05691,1,1,2.0793,0.000395913,0.000395913,0.000395913
56,963.926,0.05413,1,1,2.07949,0.000390023,0.000390023,0.000390023
57,981.019,0.04132,1,1,2.07891,0.000384132,0.000384132,0.000384132
58,998.342,0.05154,0.99844,1,2.08145,0.000378242,0.000378242,0.000378242
59,1015.52,0.04206,1,1,2.08066,0.000372351,0.000372351,0.000372351
60,1032.6,0.05219,1,1,2.07949,0.00036646,0.00036646,0.00036646
